valor;nfotos;cilindradas;cor;km;cambio;ano;anuncio;cidade;estado
93600;8;3.2;Prata;68320;Automática;2009;Veículo de particular;São Paulo;SP
94000;6;3.2;Cinza;91000;Automática;2011;Veículo de particular;São Paulo;SP
95000;8;3.2;Cinza;180000;Automática;2011;Veículo de particular;São Luís;MA
95000;8;3.5;Branco;36000;Automática;2012;Veículo de particular;São Paulo;SP
95000;8;3.5;Cinza;33000;Automática;2011;Veículo de particular;Cotia;SP
95000;8;3.2;Preto;68000;Automática;2009;Veículo de particular;São Paulo;SP
95500;7;3.2;Preto;85000;Automática Sequencial;2011;Veículo de particular;São Paulo;SP
95500;8;3.2;Cinza;103100;Automática;2011;Veículo de particular;São Paulo;SP
95500;7;3.2;Prata;81200;Automática;2011;Veículo de particular;Rio de Janeiro;RJ
95800;8;3.5;Branco;78500;Automática;2012;Veículo de particular;Pato Branco;PR
96000;8;3.5;Preto;23000;Automática;2012;Veículo de particular;São Paulo;SP
96500;8;3.5;Prata;83458;Automática;2011;Veículo de particular;Campinas;SP
97400;7;3.5;Branco;48000;Automática;2013;Veículo de particular;Jundiaí;SP
98000;7;3.2;Prata;57000;Automática;2010;Veículo de particular;São Paulo;SP
98900;6;3.2;Preto;32000;Automática;2011;Veículo de particular;São Paulo;SP
99000;6;3.5;Cinza;30000;Automática;2013;Veículo de particular;São Paulo;SP
99500;6;3.2;Branco;70000;Automática;2011;Veículo de particular;Limeira;SP
99900;8;3.5;Prata;31000;Automática;2013;Veículo de particular;Jundiaí;SP
100500;8;3.2;Preto;44000;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
101500;8;3.2;Preto;80600;Automática;2011;Veículo de particular;Catanduva;SP
103000;8;3.5;Preto;19400;Automática;2013;Veículo de particular;São Paulo;SP
103000;7;3.2;Cinza;64000;Automática;2012;Veículo de particular;São Paulo;SP
104799;7;3.2;Branco;94000;Automática;2012;Veículo de particular;São Joaquim da Barra;SP
104800;8;3.2;Cinza;63000;Automática;2012;Veículo de particular;São Paulo;SP
105000;6;3.2;Verde;47600;Automática;2011;Veículo de particular;Rio de Janeiro;RJ
105000;8;3.2;Branco;51324;Automática;2012;Veículo de particular;Santo André;SP
105000;7;3.5;Preto;30300;Automática;2012;Veículo de particular;São Paulo;SP
105000;8;3.2;Preto;120000;Automática;2010;Veículo de particular;São José do Rio Preto;SP
105000;8;3.2;Branco;52000;Automática;2013;Veículo de particular;Três Rios;RJ
105000;8;3.5;Branco;30000;Automática;2013;Veículo de particular;Santana de Parnaíba;SP
106000;6;3.5;Prata;11000;Automática;2013;Veículo de particular;Botucatu;SP
106900;8;3.2;Branco;49529;Automática;2011;Veículo de particular;Governador Valadares;MG
108000;8;3.2;Cinza;58000;Automática;2012;Veículo de particular;Rio de Janeiro;RJ
109000;8;3.2;Prata;51000;Automática;2013;Veículo de particular;São Paulo;SP
109990;8;3.2;Prata;90000;Automática;2011;Veículo de particular;Petrópolis;RJ
110000;8;3.2;Prata;52000;Automática Sequencial;2011;Veículo de particular;Atibaia;SP
110000;8;3.2;Preto;78000;Automática;2012;Veículo de particular;Pouso Alegre;MG
110500;8;3.2;Branco;13395;Automática;2013;Veículo de particular;São Paulo;SP
113000;8;3.2;Branco;38500;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
113500;8;3.2;Branco;26500;Automática;2013;Veículo de particular;Campos dos Goytacazes;RJ
115000;8;3.2;Preto;55000;Automática;2012;Veículo de particular;Rio de Janeiro;RJ
120999;8;3.2;Prata;43000;Automática;2013;Veículo de particular;Suzano;SP
122000;8;3.2;Prata;55000;Automática;2012;Veículo de particular;Jundiaí;SP
130000;8;3.2;Prata;48000;Automática;2014;Veículo de particular;Guarulhos;SP
135990;8;3.5;Branco;4980;Automática;2014;Veículo de particular;São Paulo;SP
138900;8;3.2;Prata;24000;Automática;2014;Veículo de particular;Salvador;BA
145900;6;3.2;Prata;26000;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
155000;8;3.2;Prata;34000;Automática;2012;Veículo de particular;São Paulo;SP
156900;8;3.2;Branco;17000;Automática;2014;Veículo de particular;São Paulo;SP
159000;8;3.2;Prata;111111;Automática;2015;Veículo de particular;Belo Horizonte;MG
170000;8;3.5;Cinza;5000;Automática;2015;Veículo de particular;São Paulo;SP
180000;7;3.2;Preto;17500;Automática;2012;Veículo de particular;São Paulo;SP
137990;8;3.5;Marrom;NA;Automática;2014;Veículo de loja;Itajaí;SC
99900;8;3.5;Prata;NA;Automática;2011;Veículo de concessionária;Caxias do Sul;RS
101890;6;3.2;Preto;NA;Automática;2011;Veículo de concessionária;Rio de Janeiro;RJ
92990;5;3.2;Prata;108000;Automática;2010;Veículo de loja;Osasco;SP
99900;5;3.2;Preto;92000;Automática;2010;Veículo de loja;Bento Gonçalves;RS
105900;4;3.5;Preto;21800;Automática;2012;Veículo de loja;Jundiaí;SP
95900;5;3.2;Prata;63000;Automática;2011;Veículo de concessionária;Maceió;AL
107500;4;3.2;Prata;82000;Automática;2013;Veículo de concessionária;Guarulhos;SP
140300;5;3.2;Preto;26900;Automática;2013;Veículo de concessionária;Rio Verde;GO
155490;4;3.5;Preto;0;Automática;2015;Veículo de concessionária;Santos;SP
155490;4;3.2;Preto;0;Automática;2015;Veículo de concessionária;São Paulo;SP
181990;5;3.2;Branco;0;Automática;2015;Veículo de concessionária;São Paulo;SP
77900;4;3.2;Preto;101457;Automática;2009;Veículo de particular;São Paulo;SP
87000;4;3.5;Prata;36000;Automática;2013;Veículo de particular;São José dos Campos;SP
89000;5;3.5;Prata;43000;Automática;2012;Veículo de particular;São Paulo;SP
89000;4;3.2;Prata;144000;Automática;2009;Veículo de particular;Chapecó;SC
90000;5;3.5;Preto;14550;Automática;2013;Veículo de particular;Rio de Janeiro;RJ
92000;5;3.5;Preto;60500;Automática;2012;Veículo de particular;São Paulo;SP
95000;5;3.2;Branco;83000;Automática;2009;Veículo de particular;São Paulo;SP
95500;5;3.2;Branco;101000;Automática;2011;Veículo de particular;São Paulo;SP
99000;5;3.2;Prata;51000;Manual;2012;Veículo de particular;Catalão;GO
1e+05;3;3.5;Marrom;43000;Automática;2012;Veículo de particular;São Bernardo do Campo;SP
103000;3;3.2;Branco;42600;Automática;2011;Veículo de particular;Recife;PE
103000;4;3.2;Prata;1e+05;Automática;2011;Veículo de particular;São Paulo;SP
105000;5;3.2;Branco;106000;Automática;2012;Veículo de particular;João Pessoa;PB
107000;5;3.2;Cinza;90000;Automática;2010;Veículo de particular;São Paulo;SP
110000;5;3.2;Prata;60000;Automática;2011;Veículo de particular;Fortaleza;CE
110000;5;3.5;Cinza;34000;Automática;2012;Veículo de particular;São Paulo;SP
135000;5;3.2;Preto;93000;Automática;2013;Veículo de particular;Goiânia;GO
135000;5;3.2;Branco;77000;Automática;2011;Veículo de particular;Curitiba;PR
140000;4;3.2;Cinza;25000;Automática;2014;Veículo de particular;São Paulo;SP
143900;4;3.2;Preto;8000;Automática;2014;Veículo de particular;São Paulo;SP
84999;4;3.2;Preto;NA;Automática;2009;Veículo de loja;Santo Antônio de Jesus;BA
112900;3;3.2;Prata;NA;Automática;2012;Veículo de concessionária;Rio de Janeiro;RJ
119900;1;3.2;Preto;30000;Automática;2012;Veículo de concessionária;Passos;MG
105900;2;3.2;Prata;73000;Automática;2012;Veículo de particular;Jaguariúna;SP
115000;1;3.5;Preto;11000;Automática;2014;Veículo de particular;Jundiaí;SP
115900;2;3.5;Branco;21809;Automática;2014;Veículo de particular;São Paulo;SP
125000;2;3.2;Branco;42000;Automática;2013;Veículo de particular;Jaraguá do Sul;SC
112900;1;3.2;Preto;NA;Automática;2012;Veículo de concessionária;Rio de Janeiro;RJ
99900;0;3.2;Preto;76000;Automática;2012;Veículo de loja;Florianópolis;SC
155490;0;3.2;Branco;0;Automática;2015;Veículo de concessionária;São Paulo;SP
98000;0;3.2;Preto;60000;Manual;2010;Veículo de particular;Jaboatão dos Guararapes;PE
117000;9;3.2;Prata;74000;Automática;2012;Veículo de particular;Mirassol;SP
76780;8;3.2;Preto;1e+05;Automática;2009;Veículo de loja;Campinas;SP
78000;8;3.2;Preto;120000;Automática;2009;Veículo de loja;São Paulo;SP
81000;7;3.2;Prata;112000;Automática;2009;Veículo de loja;Florianópolis;SC
83900;8;3.5;Preto;46769;Automática;2011;Veículo de loja;Vinhedo;SP
85000;8;3.2;Branco;150000;Automática;2010;Veículo de loja;São Paulo;SP
86900;7;3.2;Prata;94000;Manual;2011;Veículo de loja;Recife;PE
92900;8;3.2;Prata;80000;Automática;2009;Veículo de loja;Curitiba;PR
92900;8;3.2;Preto;99000;Automática;2009;Veículo de loja;Serra;ES
92900;8;3.2;Prata;75000;Automática;2011;Veículo de loja;Rio de Janeiro;RJ
94000;7;3.2;Prata;95300;Automática;2010;Veículo de loja;São Carlos;SP
98900;8;3.5;Branco;30000;Automática;2013;Veículo de loja;Recife;PE
99900;8;3.2;Prata;66000;Automática;2010;Veículo de loja;Belém;PA
99900;7;3.2;Verde;122000;Manual;2011;Veículo de loja;Irati;PR
99900;8;3.2;Branco;114034;Automática;2012;Veículo de loja;Ribeirão Preto;SP
99900;8;3.2;Prata;92400;Automática;2012;Veículo de loja;Petrópolis;RJ
103890;8;3.5;Prata;27390;Automática;2013;Veículo de loja;Americana;SP
105000;6;3.5;Prata;30000;Automática;2013;Veículo de loja;Itatiba;SP
108000;7;3.2;Cinza;62000;Automática;2011;Veículo de loja;Belo Horizonte;MG
109800;8;3.2;Cinza;80000;Automática;2011;Veículo de loja;São Paulo;SP
109900;8;3.2;Branco;19916;Automática;2012;Veículo de loja;Belo Horizonte;MG
109990;8;3.2;Preto;28000;Automática;2013;Veículo de loja;São Paulo;SP
110000;8;3.2;Prata;40570;Manual;2013;Veículo de loja;Curitiba;PR
110000;8;3.2;Branco;75000;Automática;2012;Veículo de loja;Macaé;RJ
115100;8;3.2;Branco;42000;Automática Sequencial;2013;Veículo de loja;Goiânia;GO
119888;6;3.2;Branco;29000;Automática;2012;Veículo de loja;Joinville;SC
119900;8;3.2;Prata;18724;Automática;2013;Veículo de loja;Recife;PE
119900;6;3.2;Prata;67000;Automática;2012;Veículo de loja;Mossoró;RN
123000;8;3.2;Branco;32500;Automática;2013;Veículo de loja;Taubaté;SP
123900;7;3.5;Branco;15640;Automática;2014;Veículo de loja;Jundiaí;SP
124900;7;3.2;Prata;19500;Automática;2012;Veículo de loja;Recife;PE
124900;7;3.2;Preto;70000;Automática;2011;Veículo de loja;Rio de Janeiro;RJ
131999;8;3.2;Branco;64000;Automática;2013;Veículo de loja;Goiânia;GO
132900;8;3.2;Branco;32700;Automática;2013;Veículo de loja;Sorocaba;SP
139800;8;3.2;Branco;29000;Automática;2014;Veículo de loja;Goiânia;GO
139990;7;3.2;Prata;9000;Automática;2013;Veículo de loja;Jaraguá do Sul;SC
142900;8;3.2;Branco;39600;Automática;2014;Veículo de loja;Campinas;SP
158900;7;3.2;Marrom;23000;Automática;2014;Veículo de loja;Recife;PE
165000;6;3.2;Preto;37000;Automática;2013;Veículo de loja;Belém;PA
